mondo id,chembl id,has hit
MONDO:0010621,CHEMBL4297210,False
MONDO:0010621,CHEMBL389433,False
MONDO:0010621,CHEMBL2108727,False
MONDO:0003210,CHEMBL1957038,False
MONDO:0003210,,False
MONDO:0003210,CHEMBL4298156,False
MONDO:0010557,,False
MONDO:0007691,CHEMBL314854,False
MONDO:0007691,,False
MONDO:0007691,CHEMBL4594547,False
MONDO:0004948,CHEMBL3137309,True
MONDO:0004948,CHEMBL1873475,True
MONDO:0004948,CHEMBL1742992,True
MONDO:0004948,CHEMBL1201587,True
MONDO:0004948,CHEMBL1201836,True
MONDO:0004948,CHEMBL1743048,True
MONDO:0004948,CHEMBL1201576,True
MONDO:0004948,CHEMBL2216870,True
MONDO:0004948,CHEMBL1096882,True
MONDO:0004948,,False
MONDO:0004948,CHEMBL2103840,True
MONDO:0004948,CHEMBL3989869,True
MONDO:0004948,CHEMBL550755,True
MONDO:0004948,CHEMBL487253,True
MONDO:0004948,CHEMBL1201734,True
MONDO:0004948,CHEMBL1619,True
MONDO:0004948,CHEMBL428690,True
MONDO:0004948,CHEMBL2105690,False
MONDO:0004948,CHEMBL2107358,True
MONDO:0004948,CHEMBL1201112,True
MONDO:0004948,CHEMBL1551724,True
MONDO:0004948,CHEMBL1743043,True
MONDO:0004948,CHEMBL1716091,True
MONDO:0004948,CHEMBL2105107,False
MONDO:0004948,,False
MONDO:0004948,CHEMBL51483,True
MONDO:0004948,,False
MONDO:0004948,CHEMBL4594531,True
MONDO:0004948,,False
MONDO:0004948,CHEMBL2108314,False
MONDO:0004948,CHEMBL2108354,True
MONDO:0004948,CHEMBL1743005,True
MONDO:0004948,CHEMBL1743040,True
MONDO:0004948,,False
MONDO:0004948,CHEMBL1743088,True
MONDO:0004948,CHEMBL1201723,False
MONDO:0011996,,False
MONDO:0011996,CHEMBL1201129,True
MONDO:0011996,CHEMBL176045,True
MONDO:0011996,CHEMBL255863,True
MONDO:0011996,CHEMBL46286,True
MONDO:0011996,CHEMBL941,True
MONDO:0011996,CHEMBL1171837,True
MONDO:0011996,CHEMBL2108508,False
MONDO:0011996,CHEMBL4208229,True
MONDO:0011996,CHEMBL108358,True
MONDO:0011996,,False
MONDO:0011996,CHEMBL4297811,True
MONDO:0011996,CHEMBL3989978,False
MONDO:0011996,,False
MONDO:0010269,CHEMBL1201583,True
MONDO:0015517,CHEMBL292008,False
MONDO:0013144,CHEMBL1201554,False
MONDO:0013144,CHEMBL2108574,True
MONDO:0013144,CHEMBL2108282,False
MONDO:0015474,CHEMBL1401,True
MONDO:0015474,,False
MONDO:0018912,CHEMBL1276308,True
MONDO:0018912,CHEMBL3349607,True
MONDO:0018912,CHEMBL934,True
MONDO:0018912,CHEMBL1201591,False
MONDO:0018912,CHEMBL4068611,True
MONDO:0018912,CHEMBL46423,False
MONDO:0018912,CHEMBL4441355,False
MONDO:0018912,CHEMBL295698,True
MONDO:0015758,CHEMBL1201550,False
MONDO:0015758,CHEMBL1023,True
MONDO:0015758,CHEMBL1742994,False
MONDO:0015758,CHEMBL53463,True
MONDO:0015758,CHEMBL7301,False
MONDO:0015758,CHEMBL383322,False
MONDO:0015758,CHEMBL4297584,False
MONDO:0015758,CHEMBL3707219,False
MONDO:0015758,CHEMBL311300,False
MONDO:0015758,CHEMBL549344,False
MONDO:0015758,CHEMBL553025,False
MONDO:0015758,,False
MONDO:0009061,CHEMBL2010601,True
MONDO:0009061,CHEMBL3544914,True
MONDO:0009061,CHEMBL1200689,True
MONDO:0009061,CHEMBL183,False
MONDO:0009061,CHEMBL63507,False
MONDO:0009061,CHEMBL336296,False
MONDO:0009061,CHEMBL1398126,True
MONDO:0009061,CHEMBL256997,True
MONDO:0009061,CHEMBL8,True
MONDO:0009061,CHEMBL140,True
MONDO:0009061,CHEMBL254219,True
MONDO:0009061,CHEMBL491571,True
MONDO:0009061,CHEMBL7301,True
MONDO:0009061,CHEMBL196,False
MONDO:0009061,CHEMBL22587,True
MONDO:0009061,,False
MONDO:0009061,CHEMBL2103870,True
MONDO:0009061,CHEMBL689,True
MONDO:0009061,CHEMBL181886,True
MONDO:0009061,CHEMBL158,True
MONDO:0009061,CHEMBL1200628,True
MONDO:0009061,CHEMBL858,True
MONDO:0009061,CHEMBL4208954,False
MONDO:0009061,CHEMBL1747,True
MONDO:0009061,CHEMBL4297879,True
MONDO:0009061,,False
MONDO:0009061,,False
MONDO:0009061,,False
MONDO:0009061,CHEMBL4297479,True
MONDO:0009061,CHEMBL1254452,False
MONDO:0009061,CHEMBL2103799,False
MONDO:0009061,CHEMBL1767408,False
MONDO:0009061,CHEMBL1742420,True
MONDO:0009061,CHEMBL1767407,True
MONDO:0009061,CHEMBL134561,False
MONDO:0009061,CHEMBL2108025,False
MONDO:0009061,CHEMBL4297166,True
MONDO:0009061,CHEMBL2109134,False
MONDO:0009061,CHEMBL2108327,True
MONDO:0009061,CHEMBL2108744,False
MONDO:0009061,CHEMBL2108026,False
MONDO:0009061,,False
MONDO:0009061,,False
MONDO:0009061,CHEMBL1201657,False
MONDO:0009061,,False
MONDO:0009061,,False
MONDO:0009061,CHEMBL1201431,True
MONDO:0016239,CHEMBL602,True
MONDO:0016239,,False
MONDO:0016239,CHEMBL1256137,True
MONDO:0016239,CHEMBL2206194,False
MONDO:0009067,CHEMBL80830,True
MONDO:0009067,CHEMBL1182,False
MONDO:0009067,CHEMBL1314,True
MONDO:0009067,CHEMBL239243,True
MONDO:0009067,,False
MONDO:0005502,CHEMBL1543,False
MONDO:0005502,CHEMBL4514089,False
MONDO:0016367,CHEMBL1201828,True
MONDO:0016367,CHEMBL2336071,True
MONDO:0016367,CHEMBL456341,True
MONDO:0016367,CHEMBL2096650,True
MONDO:0019100,CHEMBL1201828,True
MONDO:0019100,CHEMBL1619,False
MONDO:0019100,CHEMBL2108354,True
MONDO:0010679,CHEMBL224128,False
MONDO:0010679,CHEMBL541,False
MONDO:0010679,,False
MONDO:0010679,CHEMBL252556,True
MONDO:0010679,CHEMBL3989868,False
MONDO:0010679,CHEMBL2348780,True
MONDO:0010679,CHEMBL3786673,True
MONDO:0010679,CHEMBL2107802,True
MONDO:0010679,CHEMBL2103831,True
MONDO:0010679,,False
MONDO:0010679,,False
MONDO:0010679,,False
MONDO:0010679,,False
MONDO:0010679,,False
MONDO:0010679,CHEMBL2108278,True
MONDO:0010679,CHEMBL1201891,True
MONDO:0001754,CHEMBL63507,False
MONDO:0001754,CHEMBL276832,False
MONDO:0001754,,False
MONDO:0020066,CHEMBL27810,True
MONDO:0006541,CHEMBL41286,False
MONDO:0006541,,False
MONDO:0006541,CHEMBL454801,False
MONDO:0006541,,False
MONDO:0018747,CHEMBL3910904,False
MONDO:0007571,CHEMBL294199,False
MONDO:0007571,CHEMBL3544912,False
MONDO:0007571,CHEMBL3707218,False
MONDO:0007576,CHEMBL2108738,False
